time,x,y,z,yaw
163645070.103866010904312,-25869.689160000001721,-93280.416100000002189,1.617050000000000,1.751120000000000
163645070.403865009546280,-25869.885490000000573,-93279.367840000006254,1.616330000000000,1.760460000000000
163645070.702865004539490,-25870.109870000000228,-93278.233319999999367,1.616480000000000,1.771520000000000
163645071.003865003585815,-25870.366089999999531,-93277.013449999998556,1.617330000000000,1.783470000000000
163645071.302864998579025,-25870.655500000000757,-93275.708670000007260,1.617330000000000,1.794080000000000
163645071.602863997220993,-25870.979340000001685,-93274.319430000003194,1.614400000000000,1.805320000000000
163645071.803864002227783,-25871.216130000000703,-93273.346850000001723,1.610700000000000,1.813480000000000
163645072.003863990306854,-25871.470730000000913,-93272.337469999998575,1.607400000000000,1.821870000000000
163645072.203864008188248,-25871.744170000001759,-93271.291630000006990,1.606030000000000,1.830750000000000
163645072.403863996267319,-25872.037459999999555,-93270.209690000003320,1.606440000000000,1.839750000000000
163645072.603863000869751,-25872.351299999998446,-93269.091920000006212,1.607050000000000,1.848870000000000
163645072.804863005876541,-25872.686809999999241,-93267.938750000001164,1.607370000000000,1.858480000000000
163645073.004862993955612,-25873.044959999999264,-93266.750560000000405,1.608320000000000,1.868070000000000
163645073.204863011837006,-25873.425989999999729,-93265.527549999998882,1.607620000000000,1.876860000000000
163645073.403863012790680,-25873.829140000001644,-93264.269579999992857,1.603490000000000,1.884490000000000
163645073.603861987590790,-25874.254120000001421,-93262.976639999993495,1.599150000000000,1.891800000000000
163645073.803862005472183,-25874.701349999999366,-93261.648950000002515,1.595790000000000,1.899260000000000
163645074.004862010478973,-25875.171529999999620,-93260.286819999993895,1.590910000000000,1.906610000000000
163645074.203862011432648,-25875.664720000000671,-93258.890360000004875,1.585390000000000,1.913490000000000
163645074.403861999511719,-25876.180680000001303,-93257.459549999999581,1.580280000000000,1.919940000000000
163645074.603861004114151,-25876.719939999999042,-93255.994670000000042,1.576590000000000,1.926820000000000
163645074.803860992193222,-25877.283619999998336,-93254.496190000005299,1.573500000000000,1.934010000000000
163645075.003861010074615,-25877.872569999999541,-93252.964519999994081,1.569730000000000,1.941360000000000
163645075.203860998153687,-25878.486649999998917,-93251.399709999997867,1.565330000000000,1.947420000000000
163645075.404861003160477,-25879.123909999998432,-93249.801049999994575,1.560260000000000,1.952810000000000
163645075.603859990835190,-25879.786349999998492,-93248.169399999998859,1.555420000000000,1.959850000000000
163645075.802859991788864,-25880.475910000001022,-93246.505640000003041,1.552670000000000,1.967160000000000
163645076.003859996795654,-25881.192920000001322,-93244.810020000004442,1.552610000000000,1.974060000000000
163645076.203860014677048,-25881.936399999998685,-93243.082200000004377,1.552010000000000,1.979600000000000
163645076.403860002756119,-25882.703450000000885,-93241.320980000004056,1.548320000000000,1.983050000000000
163645076.603859990835190,-25883.491780000000290,-93239.525420000005397,1.541850000000000,1.985740000000000
163645076.803858995437622,-25884.300250000000233,-93237.695019999999204,1.533370000000000,1.987320000000000
163645076.904859006404877,-25884.711129999999685,-93236.766350000005332,1.530630000000000,1.987260000000000
163645077.003859013319016,-25885.125629999998637,-93235.828349999996135,1.529270000000000,1.986510000000000
163645077.103859007358551,-25885.543269999998302,-93234.880810000002384,1.528450000000000,1.985460000000000
163645077.204858988523483,-25885.963970000000700,-93233.923689999995986,1.527360000000000,1.984510000000000
163645077.303858995437622,-25886.387859999998909,-93232.957049999997253,1.526010000000000,1.983700000000000
163645077.405858993530273,-25886.814999999998690,-93231.980909999998403,1.524790000000000,1.982930000000000
163645077.503859013319016,-25887.245399999999790,-93230.995290000006207,1.523760000000000,1.982180000000000
163645077.603859007358551,-25887.679029999999329,-93230.000159999995958,1.522810000000000,1.981380000000000
163645077.703857988119125,-25888.115819999999076,-93228.995509999993374,1.521780000000000,1.980510000000000
163645077.803858011960983,-25888.555619999999180,-93227.981260000000475,1.520140000000000,1.979450000000000
163645077.903858006000519,-25888.998159999999189,-93226.957290000005742,1.517370000000000,1.978090000000000
163645078.004857987165451,-25889.443070000001171,-93225.923469999994268,1.513560000000000,1.976430000000000
163645078.104858011007309,-25889.890139999999519,-93224.879679999998189,1.509170000000000,1.974680000000000
163645078.203857988119125,-25890.339319999999134,-93223.825920000002952,1.504790000000000,1.972980000000000
